No.,IO_Type,Inout Mode,Single/Differential,Drive,All Output Drive Support,DIFFDrive,OpenDrain,SlewRate,PCIClamp,VREF,HYSTERESIS,PullMode,SingleResistor(bank 0/1/4/5),SingleResistor(bank 2/3/6/7),DIFFResistor(bank 2/3/4/5/6/7),DIFFResistor(bank 0/1),BANK VREF,BANK,BANK VCCIO,SW,BFD
14,SSTL18D_I,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,SSTL18D_I,SSTL_D
15,SSTL18D_II,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,SSTL18D_II,SSTL_D
16,SSTL25D_I,,,8,12/24/20/16/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,2.5,SSTL25D_I,SSTL_D
17,SSTL25D_II,,,8,12/24/20/16/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,2.5,SSTL25D_II,SSTL_D
18,SSTL33D_I,,,8,8/24/20/16/12/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,3.3,SSTL33D_I,SSTL_D
19,SSTL33D_II,,,8,8/24/20/16/12/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,3.3,SSTL33D_II,SSTL_D
20,LVCMOS12D,,,8/4,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.2,LVCMOS12D,LVCMOS_D
21,LVCMOS15D,,,8/4,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.5,LVCMOS15D,LVCMOS_D
22,LVCMOS18D,,,8/12/4,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,LVCMOS18D,LVCMOS_D
23,LVCMOS25D,,,8/16/12/4,12/24/20/16/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,2.5,LVCMOS25D,LVCMOS_D
24,LVCMOS33D,,,8/24/16/12/4,8/24/20/16/12/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,NONE/UP/DOWN/KEEPER,N/A,OFF/ON,N/A,N/A,N/A,ALL,3.3,LVCMOS33D,LVCMOS_D
25,HSTL15_I,Single Voltage Inout,Single,8,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,INTERNAL/VREF1_LOAD*,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,REF_15,ALL,1.5,HSTL15_I,HSTL
26,HSTL18_I,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,INTERNAL/VREF1_LOAD,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,REF_18,ALL,1.8,HSTL18_I,HSTL
27,HSTL18_II,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,INTERNAL/VREF1_LOAD,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,REF_18,ALL,1.8,HSTL18_II,HSTL
28,SSTL15,,,8,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,INTERNAL/VREF1_LOAD,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,REF_15,ALL,1.5,SSTL15,SSTL
29,SSTL18_I,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,INTERNAL/VREF1_LOAD,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,REF_18,ALL,1.8,SSTL18_I,SSTL
30,SSTL18_II,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,INTERNAL/VREF1_LOAD,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,REF_18,ALL,1.8,SSTL18_II,SSTL
31,SSTL25_I,,,8,12/24/20/16/8/4,N/A,N/A,FAST/SLOW,N/A,INTERNAL/VREF1_LOAD,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,REF_25,ALL,2.5,SSTL25_I,SSTL
32,SSTL25_II,,,8,12/24/20/16/8/4,N/A,N/A,FAST/SLOW,N/A,INTERNAL/VREF1_LOAD,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,REF_25,ALL,2.5,SSTL25_II,SSTL
33,SSTL33_I,,,8,8/24/20/16/12/4,N/A,N/A,FAST/SLOW,N/A,INTERNAL/VREF1_LOAD,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,REF_33,ALL,3.3,SSTL33_I,SSTL
34,SSTL33_II,,,8,8/24/20/16/12/4,N/A,N/A,FAST/SLOW,N/A,INTERNAL/VREF1_LOAD,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,REF_33,ALL,3.3,SSTL33_II,SSTL
35,LVCMOS12,,,8/4,24/20/16/12/8/4,N/A,OFF/ON,FAST/SLOW,N/A,N/A,NONE/H2L/L2H/HIGH,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.2,LVCMOS12,LVCMOS12
36,LVCMOS15,,,8/4,24/20/16/12/8/4,N/A,OFF/ON,FAST/SLOW,N/A,N/A,NONE/H2L/L2H/HIGH,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.5,LVCMOS15,LVCMOS15
37,LVCMOS18,,,8/12/4,16/24/20/12/8/4,N/A,OFF/ON,FAST/SLOW,N/A,N/A,NONE/H2L/L2H/HIGH,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,LVCMOS18,LVCMOS18
38,LVCMOS25,,,8/16/12/4,12/24/20/16/8/4,N/A,OFF/ON,FAST/SLOW,N/A,N/A,NONE/H2L/L2H/HIGH,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,N/A,ALL,2.5,LVCMOS25,LVCMOS25
39,LVCMOS33/LVTTL33,,,8/24/16/12/4,8/24/20/16/12/4,N/A,OFF/ON,FAST/SLOW,N/A,N/A,NONE/H2L/L2H/HIGH,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,N/A,ALL,3.3,LVCMOS33/LVTTL33,LVCMOS33
40,PCI33,,,8/4,8/24/20/16/12/4,N/A,N/A,FAST/SLOW,ON/OFF,N/A,NONE/H2L/L2H/HIGH,UP/DOWN/KEEPER/NONE,N/A,N/A,N/A,N/A,N/A,ALL,3.3,PCI33,PCI33
Marks: N/A means this feature is prohibited to set when this IO type is selected, default vaule is as follow,,,,N/A=OFF,N/A=OFF,N/A=OFF,N/A=OFF,N/A=SLOW,N/A=OFF,N/A=OFF,N/A=NONE,N/A=NONE,N/A=OFF,N/A=OFF,N/A=OFF,N/A=OFF,N/A=OFF,,,
*,INTERNAL means use internal VREF voltage for INR mode, VREF1_LOAD means use external input VREF voltage for INR mode, in this mode, 1 pin on this bank IO Type must be set to VREF1_LOAD input mode.,,,,,,,,,,,,,,,,,
**,OFF means there is no resister on single IO, ON means there are both 100ohm pull up and 100ohm pull down resister on single IO.,,,,,,,,,,,,,,,,,,,
***,OFF means there is no differential resister on IO Pair, ON means there is a 100ohm resister between IO Pair(A and B).,,,,,,,,,,,,,,,,,,,
